Image_ID	Background	Spartina	Spartina_dead	Sarcocornia	Batis	Juncus	Borrichia	Limonium	Other
../Data_deeplab/real/predict/preds/2_5_pred.png	10735882	5884474	869831	637634	36005	0	0	0	32317
../Data_deeplab/real/predict/preds/2_15_pred.png	14674885	5218094	1160419	2039702	852272	0	93	0	54535
../Data_deeplab/real/predict/preds/2_12_pred.png	13585651	2827130	743567	897575	5924112	0	3031	0	18934
../Data_deeplab/real/predict/preds/3_15_pred.png	15819951	3407	1317	5503786	2665690	0	0	0	5849
../Data_deeplab/real/predict/preds/3_10_pred.png	20736623	86	198	2102886	1149088	0	0	0	11119
../Data_deeplab/real/predict/preds/3_4_pred.png	12510954	14145	961	6485852	4986008	0	765	0	1315
../Data_deeplab/real/predict/preds/3_3_pred.png	13423270	15560	236	6361438	4197662	0	1664	0	170
../Data_deeplab/real/predict/preds/2_11_pred.png	16129919	925072	87038	4587034	2202564	0	41641	0	26732
../Data_deeplab/real/predict/preds/4_10_pred.png	14034959	1746460	1801043	579411	5105976	0	664722	0	67429
../Data_deeplab/real/predict/preds/1_9_pred.png	14638382	897809	128260	96456	0	0	0	0	1529407
../Data_deeplab/real/predict/preds/1_8_pred.png	14938714	490407	91251	5183	721	0	0	0	1600746
../Data_deeplab/real/predict/preds/1_14_pred.png	20436699	2662801	818241	4	0	0	0	0	82255
../Data_deeplab/real/predict/preds/3_13_pred.png	15542479	13688	4213	2024048	6400375	0	314	0	14883
../Data_deeplab/real/predict/preds/2_13_pred.png	17612898	4292549	735351	1247283	7270	0	0	0	104649
../Data_deeplab/real/predict/preds/1_18_pred.png	13906012	2770180	601775	0	0	0	0	0	37341
../Data_deeplab/real/predict/preds/4_11_pred.png	10520936	300961	121540	43496	11480774	0	1517252	0	15041
../Data_deeplab/real/predict/preds/2_20_pred.png	17103506	3968709	2019513	130487	563365	0	27	0	214393
../Data_deeplab/real/predict/preds/2_1_pred.png	12780453	1791743	324620	1779247	15296	0	0	0	44957
../Data_deeplab/real/predict/preds/3_18_pred.png	21566177	9133	0	2076049	347449	0	0	0	1192
../Data_deeplab/real/predict/preds/4_13_pred.png	14289669	3876728	1353103	273720	4028482	0	83839	0	94459
../Data_deeplab/real/predict/preds/1_4_pred.png	4477157	2255283	1684786	2214	0	0	0	0	4723950
../Data_deeplab/real/predict/preds/2_14_pred.png	15716365	3810300	689667	2316559	1417828	0	0	0	49281
../Data_deeplab/real/predict/preds/3_17_pred.png	20618094	19	153	2036391	1336507	0	0	0	8836
../Data_deeplab/real/predict/preds/2_8_pred.png	18392122	2930115	513032	2127055	5912	0	0	0	31764
../Data_deeplab/real/predict/preds/3_2_pred.png	12512113	11358	8	7179456	4288915	0	1254	0	6896
../Data_deeplab/real/predict/preds/2_10_pred.png	12507574	1082929	475335	3108585	1949360	0	0	0	93361
../Data_deeplab/real/predict/preds/3_11_pred.png	15855192	2955	73	1026102	7113307	0	224	0	2147
../Data_deeplab/real/predict/preds/3_14_pred.png	15431188	2955	6421	3476042	5081666	0	0	0	1728
../Data_deeplab/real/predict/preds/1_5_pred.png	11394273	1036706	361575	7980	392	0	0	0	1192571
../Data_deeplab/real/predict/preds/4_14_pred.png	15655350	45334	59601	729068	6026595	0	1456846	0	27206
../Data_deeplab/real/predict/preds/4_17_pred.png	9869531	405590	98164	562277	9727076	0	3323399	0	13963
../Data_deeplab/real/predict/preds/2_3_pred.png	11432341	1289411	268924	6342198	43581	0	0	0	34146
../Data_deeplab/real/predict/preds/1_13_pred.png	16140616	5431510	2307703	283	0	0	0	0	119888
